Gene	Length
AC016739.1	345
RPSAP25	883
MTX2	1717
AC073069.1	441
AC068706.2	101
AC068706.1	150
AC017048.1	495
AC017048.2	822
AC017048.3	813
LINC01116	1783
LINC01117	699
RNU6ATAC14P	91
AC092162.2	5290
FUCA1P1	1351
AC092162.1	434
AC092162.3	1624
AC073636.1	646
RNU6-187P	106
AC074286.1	946
RNA5SP112	99
AC079305.3	218
AC079305.2	561
KRT8P40	563
HNRNPA3	6033
MIR4444-1	148
NFE2L2	5979
DNAJC19P5	316
MIR3128	66
AC079305.1	499
AC019080.1	7171
AC019080.3	444
AC019080.4	564
AC019080.5	757
AC019080.2	394
AGPS	8745
TTC30B	4017
AC073834.1	590
TTC30A	5975
PDE11A	12498
AC012499.1	741
AC011998.3	254
API5P2	1498
AC011998.2	473
RNU6-629P	103
CYCTP	315
AC011998.1	117
RBM45	4784
RNU5E-9P	104
OSBPL6	11486
AC009948.1	4001
PRKRA	3941
DFNB59	2456
AC009948.2	713
FKBP7	3080
PLEKHA3	14193
TTN-AS1	20654
TTN	118976
AC009948.4	675
AC009948.3	1798
AC010680.3	520
AC010680.2	2117
AC010680.4	543
AC010680.5	463
AC010680.1	3590
CCDC141	12649
RNU7-104P	79
RPS6P2	705
SESTD1	11349
AC093911.1	552
AC068042.1	1148
ZNF385B	5310
AC092642.1	425
MIR1258	73
SNORA43	647
CWC22	3324
AC012669.1	283
AC009478.1	562
AC009478.2	89
SCHLAP1	1436
AC104820.1	307
FTH1P20	548
AC104076.2	469
UBE2E3	2973
AC104076.1	265
AC068196.1	833
LINC01934	2964
MIR4437	60
AC020595.1	533
ITGA4	7901
CERKL	4765
NEUROD1	3312
AC013733.2	635
AC013733.1	985
SAP18P2	459
RNU6ATAC19P	110
AC009962.1	3813
SSFA2	9582
PPP1R1C	4887
KRT18P29	1267
RNA5SP113	84
AC064837.1	188
PDE1A	6322
RN7SL267P	259
DNAJC10	21835
RPL31P15	338
FRZB	3162
RNU6-1122P	107
NCKAP1	22520
KRT8P10	1447
DUSP19	5376
AC064871.1	597
NUP35	4046
AC021851.1	1082
LIN28AP1	405
CACYBPP2	678
AC093639.1	473
MIR548AE1	70
AC096667.1	3465
ZNF804A	4694
RPL23AP33	452
AC080125.1	684
AC007966.1	1472
FSIP2	23494
FSIP2-AS1	880
RPL21P32	477
LINC01473	1450
AC104058.1	297
RPL23AP35	501
AC017071.1	2204
MED28P3	531
ZC3H15	3125
DPRXP1	460
AC018867.1	57
AC018867.2	138
ITGAV	8211
AC017101.1	571
FAM171B	5826
ZSWIM2	2400
AC018735.1	1502
AC007319.1	1472
RN7SKP42	300
RNU6-989P	107
CALCRL	6144
GAPDHP59	267
TFPI	11714
LINC01090	1584
AC068718.2	88
ST13P2	1109
AC104131.1	1194
RNA5SP114	113
GULP1	11979
MIR561	97
AC092598.1	797
DIRC1	1037
COL3A1	6811
MIR1245A	70
COL5A2	7156
AC133106.1	397
MIR3129	76
KRT18P19	705
AC118063.1	91
WDR75	5066
AC013439.1	1239
SLC40A1	4330
AC012488.1	640
ASNSD1	2504
ANKAR	5758
OSGEPL1	3583
OSGEPL1-AS1	860
AC013468.1	646
ORMDL1	3958
PMS1	5454
C2orf88	5997
AC008122.1	90
AC019178.2	505
HNRNPCP2	881
AC019178.1	440
MSTN	2822
HIBCH	7438
INPP1	3676
MFSD6	6031
AC093388.1	430
NEMP2	6521
AC108047.1	404
RN7SKP179	217
NAB1	4887
AC006460.1	1125
AC005540.1	919
GLS	9827
STAT1	6053
AC067945.1	618
AC067945.2	623
AC067945.3	520
STAT4	4250
RNU6-959P	107
AC079777.1	1953
HMGB1P27	603
AC092614.1	909
MYO1B	9533
RNU6-1045P	107
NABP1	13806
AC098872.1	543
CAVIN2	3229
AC098617.1	5155
DNAJB1P1	1024
TMEFF2	6632
AC062039.1	565
AC013401.1	626
PCGEM1	1712
RPS17P8	335
AC092638.1	1275
AC092638.2	947
AC074290.1	135
AC068135.2	1028
AC068135.1	246
GLULP6	913
HNRNPA1P47	931
LINC01821	1532
AC106883.1	562
AC073973.1	101
LINC01790	2852
AC010983.1	1028
AC104823.1	989
AC064834.1	503
RNU6-169P	107
LINC01825	850
LINC01827	555
SLC39A10	6917
AHCYP5	1238
RNU6-915P	103
DNAH7	21324
E2F3P2	1422
AC114760.1	652
STK17B	6580
AC114760.2	2065
HECW2	12692
AC020571.1	1607
RN7SL820P	297
AC068544.1	248
CCDC150	9683
GTF3C3	7105
C2orf66	1669
AC012486.1	216
PGAP1	12761
ANKRD44	10839
HNRNPA3P15	1026
AC017035.1	1115
AC013264.1	455
ANKRD44-IT1	1069
ATP5G2P3	425
AC010746.1	452
NPM1P46	865
SF3B1	9164
SNORA4	701
RNU6-1029P	107
COQ10B	2722
HSPD1	4245
HSPE1	1977
HSPE1-MOB4	890
MOB4	4296
AC020550.1	163
RFTN2	6007
AC011997.1	1032
MARS2	3019
BOLL	4004
PLCL1	8013
AC020719.1	618
LINC01923	3201
AC019330.1	2134
AC019330.2	85
AC020718.1	556
AC018717.1	1505
RNU7-147P	62
SATB2	10958
AC016746.1	831
SATB2-AS1	4470
LINC01877	2473
SEPHS1P6	1179
FTCDNL1	2708
AC097717.1	6656
AC108032.1	207
RN7SL717P	295
C2orf69	4296
TYW5	10496
MAIP1	1624
SPATS2L	10437
AC105381.1	90
KCTD18	4915
SGO2	6022
AOX1	5556
AOX3P	4310
AC007163.2	1218
LINC01792	2050
AOX2P	3835
RNU1-133P	167
AC007163.1	877
BZW1	8085
RNU6-31P	108
AC005037.2	114
BICD1P1	1222
RNA5SP115	107
CLK1	5170
PPIL3	2914
RNU6-312P	107
NIF3L1	1985
RNU6-762P	102
ORC2	5835
RN7SL694P	268
AC005037.1	973
FAM126B	12810
HNRNPA1P35	963
RPL23AP30	501
NDUFB3	1103
RNU6-1206P	103
AC007272.1	1395
RPL17P10	555
CFLAR	22529
IMPDH1P10	1542
CFLAR-AS1	4334
RNU7-45P	63
AC007283.2	197
AC007283.1	445
CASP10	7598
MTND5P25	799
MTND4P23	1363
MTND4LP13	298
CASP8	7243
ALS2CR12	2635
TRAK2	7595
STRADB	3242
AC007256.1	2765
C2CD6	6815
MTCO2P16	677
MTATP6P16	526
MTCO3P16	754
MTND3P16	344
MTND4LP16	295
MTND4P29	1372
MTND5P31	1374
TMEM237	7647
ENO1P4	1785
MPP4	4924
RNU6-651P	105
ALS2	10384
AC007279.1	837
CDK15	6141
UBE2V1P11	285
AC007242.1	102
RNU6-440P	105
AC007358.1	80
AC069148.1	768
FZD7	3859
KIAA2012	7943
AC079354.1	3093
AC079354.3	311
PSMA2P3	675
DAZAP2P1	503
SUMO1	2164
AC079354.2	298
NOP58	3299
SNORD70	173
SNORD11B	90
SNORD11	173
RN7SL753P	290
AC064836.1	704
AC064836.2	462
RN7SL40P	297
AC064836.3	673
BMPR2	11900
AC073410.2	332
AC073410.1	589
MTCO1P17	491
MTCO2P17	677
MTATP6P17	672
MTCO3P17	513
MTND3P17	344
MTND4LP17	293
MTND4P30	899
MTCO1P54	712
FAM117B	5986
ICA1L	10598
AC098831.1	552
KRT8P15	1451
WDR12	9098
CARF	8636
AC010900.1	1296
AC010900.2	210
NBEAL1	16376
RPL7P14	741
SNORA1	666
AC023271.1	1090
RPL23AP36	458
RPL12P16	498
CYP20A1	3079
RN7SL670P	292
MRPL50P2	482
ABI2	23331
AC080075.1	427
RAPH1	11697
AC125238.2	1440
AC125238.1	341
CD28	4885
KRT18P39	1299
NPM1P33	872
RNU6-474P	107
CTLA4	2120
ICOS	2645
AC009965.2	970
AC009965.1	570
AC009498.1	541
DSTNP5	523
AC106901.1	698
AC016903.1	588
AC016903.2	326
PARD3B	10382
AC008171.1	200
NRP2	13896
AC007362.1	3509
RN7SKP178	329
AC007679.1	502
AC007679.2	781
INO80D	14373
AC007679.3	414
AC007383.2	1034
NDUFS1	12268
AC007383.3	1411
GCSHP3	391
EEF1B2	1915
SNORD51	157
SNORA41	260
GPR1	2834
GPR1-AS	4129
RN7SKP200	320
AC007383.1	636
HMGN1P6	291
RN7SKP260	149
ZDBF2	10340
AC017081.1	1204
HNRNPA1P51	947
ADAM23	6421
AC010731.2	440
AC010731.3	566
FAM237A	1403
DYTN	2140
AC010731.1	846
MDH1B	3110
FASTKD2	6079
MIR3130-1	75
AC008269.2	1105
AC008269.1	646
CPO	1209
KLF7	9262
MIR2355	87
KLF7-IT1	655
AC007879.1	554
AC007879.3	1095
AC007879.2	551
AC007879.4	361
MYOSLID	1204
AC009226.1	1284
LINC01802	523
MIR1302-4	150
CREB1	9575
METTL21A	6798
RPS29P9	171
LINC01857	492
RNU6-664P	107
PPP1R14BP2	444
CCNYL1	4707
AC096772.1	564
MIR4775	75
FZD5	6708
PLEKHM3	11671
AC083900.1	469
RNU6-360P	104
AC093698.1	571
RNA5SP116	98
RPL12P17	498
CRYGEP	528
CRYGD	619
CRYGC	629
AC093698.2	1078
CRYGB	641
CRYGA	609
C2orf80	1435
RPSAP27	850
TPT1P2	503
AC016697.3	62
IDH1	4721
IDH1-AS1	655
PIKFYVE	10832
MYL6BP1	615
PTH2R	4390
AC012362.1	801
AC019185.1	389
AC019185.2	520
AC019185.3	323
RNA5SP117	118
HSPA8P6	1552
CRYGFP	633
MEAF6P1	327
PKP4P1	2158
MAP2	11559
RNA5SP118	109
UNC80	19258
SNAI1P1	777
RPE	3522
KANSL1L	8491
AC007038.2	740
AC007038.1	2199
AC006994.1	839
AC006994.3	96
AC006994.2	4461
ACADL	4383
MYL1	1342
LANCL1-AS1	1667
LANCL1	5254
CPS1	10444
CPS1-IT1	2306
AC012491.1	799
AC013404.1	249
ERBB4	13015
RNA5SP119	117
MTND2P23	651
MTCO1P46	1491
MIR548F2	98
AC093865.1	539
LINC01878	1124
PCED1CP	785
AC108066.1	596
MIR4776-2	80
IKZF2	12240
AC079610.2	690
LINC01953	717
AC079610.3	147
AC079610.1	1727
SPAG16	8257
MIR4438	93
AC068051.1	727
RPL5P8	815
VWC2L	5230
VWC2L-IT1	467
ENSAP3	333
BARD1	6067
AC016708.1	2108
RPL10P6	318
ABCA12	9416
AC072062.1	3813
AC073284.1	404
ATIC	3928
FN1	17315
AC012462.3	131
AC012462.1	825
AC012462.2	391
AC012668.2	503
AC012668.3	2028
AC012668.1	228
LINC00607	5628
LINC01614	648
AC093850.1	251
AC122136.1	565
AC093382.1	379
MREG	3056
PECR	3182
TMEM169	3628
XRCC5	5463
POLHP1	470
AC012513.2	1137
AC012513.3	2116
LINC01963	3148
MARCH4	4447
AC012513.1	784
AC069155.1	575
AC098820.2	666
SMARCAL1	5092
AC098820.1	1435
AC098820.3	976
RPL37A	6841
LINC01280	1184
AC073321.1	654
PSMB3P2	618
IGFBP2	4767
IGFBP5	6442
AC007563.2	904
AC007563.3	371
RNA5SP120	112
AC007563.1	689
FABP5P14	393
AC007557.2	583
TNP1	407
AC007557.4	430
AC007557.1	541
AC007557.3	3135
LINC01921	393
AC007749.1	585
AC010887.1	85
RN7SKP43	320
DIRC3-AS1	557
DIRC3	4665
AC010886.1	2869
RPL7L1P9	745
TNS1	15595
AC009469.1	1464
AC010136.1	568
RUFY4	4357
CXCR2P1	2503
CXCR2	3231
CXCR1	2488
HMGB1P9	646
ARPC2	6562
AC021016.2	2048
GPBAR1	2692
AAMP	3140
PNKD	5184
TMBIM1	5098
CATIP-AS2	535
AC021016.1	498
CATIP	3821
CATIP-AS1	775
SLC11A1	8676
CTDSP1	4727
AC021016.3	477
MIR26B	77
VIL1	6920
USP37	9290
RN7SKP38	309
CNOT9	5289
RNU6-136P	107
PLCD4	5867
AC012510.1	759
ZNF142	6994
BCS1L	3379
RNF25	2323
STK36	6458
TTLL4	7685
CYP27A1	2983
AC009974.1	455
PRKAG3	3334
RPL23AP31	467
WNT6	1703
WNT10A	3412
LINC01494	1011
RNU6-642P	104
AC097468.2	553
KRT8P30	650
CDK5R2	2508
LINC00608	4023
FEV	2049
CRYBA2	1454
MIR375	70
AC097468.1	1992
CFAP65	10519
IHH	2023
MIR3131	63
AC097468.3	456
NHEJ1	3109
AC068946.1	4733
RN7SL764P	282
SLC23A3	3601
CNPPD1	2760
RETREG2	5689
ZFAND2B	3396
ABCB6	5205
ATG9A	8136
ANKZF1	6119
GLB1L	3411
STK16	4368
TUBA4A	4079
TUBA4B	1678
DNAJB2	5886
PTPRN	8261
MIR153-1	90
AC114803.1	311
RESP18	1140
AC053503.3	114
DNPEP	4734
AC053503.2	1598
DES	2464
AC053503.4	224
SPEG	17910
AC053503.1	519
AC053503.5	636
GMPPA	5332
ASIC4	5250
CHPF	3354
TMEM198	2578
AC009955.3	448
MIR3132	75
OBSL1	9611
AC009955.4	544
INHA	1753
RN7SKP213	298
STK11IP	5694
AC009955.1	271
SLC4A3	5091
AC009955.2	542
AC009502.2	766
AC009502.1	2951
RPL23P4	416
LINC01803	613
MIR4268	64
AC009310.1	451
AC019211.1	754
AC093083.1	347
AC114765.3	79
AC067956.1	2062
AC019051.1	110
AC093843.1	512
AC011233.1	283
EPHA4	7554
AC079834.2	2043
TMEM256P2	341
AC079834.1	421
AC068489.1	261
AC009302.1	390
HSPA9P1	2029
RPL23AP28	470
PAX3	4633
CCDC140	1932
AC010980.2	1412
AC010980.1	2567
SGPP2	3336
NANOGP2	727
RNU6-619P	108
GAPDHP49	961
AC097461.1	2821
FARSB	3369
MOGAT1	1048
AC104772.2	613
AC104772.1	862
AC016712.1	378
ACSL3	7240
ATG12P2	416
AC013476.1	627
AC013476.2	459
KCNE4	4124
RN7SL807P	294
HIGD1AP4	280
AC013448.1	808
AC013448.2	787
SCG2	2719
AC012512.1	718
AP1S3	4284
WDFY1	5516
MRPL44	1748
AC073641.1	429
SERPINE2	8891
AC019109.1	1874
AC104802.1	95
AC008072.1	824
FAM124B	3541
AC073052.2	1016
CUL3	11505
AC073052.1	714
CCDC195	606
DOCK10	11065
MIR4439	80
NYAP2	5461
AC016717.1	286
AC016717.2	5141
AC016717.3	554
AC068138.1	217
AC062015.1	1134
MIR5702	84
IRS1	9953
AC010735.2	584
AC010735.1	1026
RHBDD1	6926
COL4A4	9895
AC079235.1	116
COL4A3	9124
AC097662.1	3652
MFF	6150
TM4SF20	2757
MIR5703	56
AGFG1	9321
AC064853.4	363
C2orf83	3486
AC064853.6	303
AC064853.1	540
AC064853.5	258
SLC19A3	5329
AC093762.3	318
AC093762.2	291
AC093762.1	837
RNA5SP121	101
SNRPGP8	226
AC073065.1	2866
CCL20	1343
TDGF1P2	562
DAW1	2933
SPHKAP	7009
RNU6-624P	107
AC074019.1	1096
LINC01807	676
AC012070.1	427
RPL7L1P10	463
PID1	3364
AC007677.1	515
RN7SKP283	270
DNER	3935
RNU7-9P	62
AC007559.1	355
TRIP12	12594
RNU6-613P	108
FBXO36	3945
RNU6-964P	69
FBXO36-IT1	582
RNU6-1027P	107
SLC16A14	4946
RNY4P19	96
AC009950.1	3734
AC009950.2	183
SP110	6865
SP140	5582
SP140L	5650
AC009949.1	1830
SP100	12618
RN7SL834P	284
HMGB1P3	616
AC010149.1	692
TPM3P8	643
AC010149.2	315
RNU6-451P	107
LINC01907	2609
CAB39	5360
BANF1P3	261
RNU6-268P	107
AC012507.3	477
ITM2C	2611
AC012507.2	2265
GPR55	4130
AC012507.1	600
COX20P2	358
SPATA3-AS1	3693
SPATA3	2066
C2orf72	3851
AC009407.1	598
PSMD1	5187
HTR2B	2246
RNU1-93P	169
ARMC9	9660
AC018738.1	210
MIR4777	86
AC017104.1	1683
B3GNT7	3806
ZBTB8OSP2	504
AC017104.2	321
AC017104.3	568
NCL	6929
SNORD20	80
SNORD82	70
AC017104.5	639
RNU2-22P	212
LINC00471	1282
NMUR1	3298
AC104634.1	462
RPL23AP26	464
TEX44	1383
RN7SL499P	274
MGC4771	105
PTMA	3378
PDE6D	2850
COPS7B	6066
AC073476.1	407
AC073476.3	2507
AC073476.2	497
MIR1471	57
NPPC	1071
DIS3L2	11337
AC019130.1	391
MIR562	95
AC068134.3	788
ECEL1P3	737
AC068134.4	122
ALPP	3059
AC068134.1	680
ECEL1P2	1708
ALPPL2	2493
ECEL1P1	1742
AC068134.2	576
DIS3L2P1	559
ALPI	2632
ECEL1	2972
PRSS56	2390
CHRND	3132
CHRNG	2615
TIGD1	2625
EIF4E2	7177
MIR5001	100
AC073254.1	3725
EFHD1	3052
RN7SL359P	287
GIGYF2	13416
EEF1B2P7	676
AC064852.1	851
KCNJ13	2977
RNU6-107P	102
C2orf82	3698
NGEF	4678
AC106876.1	813
NEU2	1143
INPP5D	6914
RN7SL32P	277
ATG16L1	6047
SCARNA5	276
SCARNA6	503
SAG	11885
AC013726.1	2285
DGKD	9771
USP40	9352
AC019072.1	1551
UGT1A12P	853
UGT1A11P	849
UGT1A8	2407
UGT1A10	3157
UGT1A13P	762
UGT1A9	2416
UGT1A7	4167
UGT1A6	5180
AC114812.2	663
UGT1A5	2345
UGT1A4	2522
RPL17P11	544
UGT1A3	2364
AC114812.3	730
DNAJB3	1266
UGT1A2P	866
AC114812.4	757
AC114812.1	1041
UGT1A1	4467
MROH2A	5730
HJURP	3821
MSL3P1	2278
AC005538.2	1864
TRPM8	7903
AC005538.1	594
SPP2	1265
AC006037.1	287
AC122134.1	1677
AC097713.2	356
AC097713.1	562
LINC01891	538
HSPE1P9	311
ARL4C	4013
LINC01173	331
AC104394.1	1748
AC010148.1	2973
SH3BP4	7129
AC114814.1	691
AC114814.2	485
AC114814.3	663
AC092576.1	94
AGAP1	13910
AGAP1-IT1	664
AC012305.1	73
AC064874.1	600
TMSB10P1	132
RNU7-127P	62
RN7SL204P	258
GBX2	2315
AC019068.1	1115
ASB18	5436
RNU1-31P	176
IQCA1	5975
AC093915.1	1543
IQCA1-AS1	489
RPL3P5	1232
ACKR3	2258
AC084030.1	1408
RNU6-1051P	102
AC105760.1	2231
AC105760.2	2341
COPS8	4743
AC107079.1	669
AC112715.1	350
COL6A3	19633
AC112721.1	588
AC112721.2	541
MLPH	7514
RNU6-1140P	106
PRLH	264
RAB17	4783
AC104667.2	1656
AC104667.1	2057
LRRFIP1	11901
RBM44	6049
RAMP1	1234
SNORD39	226
UBE2F	4238
UBE2F-SCLY	3195
RNU6-1333P	93
SCLY	11733
ESPNL	5362
KLHL30	3726
KLHL30-AS1	3106
ERFE	3572
ILKAP	4771
AC016757.1	2906
AC012485.1	3965
HES6	2037
PER2	6877
AC012485.3	2424
AC012485.2	982
TRAF3IP1	4617
RNU6-234P	104
ASB1	7410
AC016999.1	452
LINC01107	1975
LINC01937	553
AC113618.1	285
AC145625.1	592
TWIST2	1437
LINC01940	3489
AC114788.1	83
HDAC4	13368
MIR4440	98
AC017028.6	94
AC017028.10	94
AC017028.2	94
AC017028.3	94
AC017028.4	94
AC017028.9	94
AC017028.5	94
AC017028.8	99
MIR4441	100
AC017028.7	100
AC017028.1	264
MIR4269	84
MIR2467	81
AC062017.1	613
AC079612.1	3700
AC079612.2	348
AC093802.2	583
AC093802.1	3238
NDUFA10	9517
MIR4786	80
OR6B2	1492
OR6B3	1097
AC013469.1	454
OR5S1P	951
COPS9	2039
OTOS	645
AC124861.1	429
AC124861.2	146
GPC1	6516
PP14571	3235
MIR149	89
ANKMY1	11477
DUSP28	3709
RNPEPL1	7867
CAPN10-AS1	4000
CAPN10	7474
GPR35	5089
AC011298.3	283
AQP12B	3303
AC011298.1	3626
AQP12A	1742
KIF1A	12357
AGXT	4459
C2orf54	2772
CROCC2	5978
AC104809.2	2656
AC104809.1	2345
SNED1	13592
AC093585.1	428
AC005237.1	559
MTERF4	9938
PASK	10686
AC005237.2	219
PPP1R7	3781
ANO7	5695
HDLBP	12182
AC104841.2	1532
AC104841.1	98
SEPT2	7378
AC005104.1	442
FARP2	14413
MIR3133	78
AC005104.2	678
STK25	7584
BOK-AS1	643
BOK	2711
AC133528.1	805
THAP4	3147
RNA5SP122	108
ATG4B	6638
DTYMK	2451
ING5	10259
AC114730.3	584
D2HGDH	5279
AC114730.1	472
AC114730.2	668
GAL3ST2	1370
AC131097.1	739
AC131097.3	2132
NEU4	4674
AC131097.4	571
PDCD1	2114
RTP5	2606
LINC01237	1601
AC131097.2	674
LINC01238	3961
AC093642.2	4805
AC093642.1	565
LINC01880	561
LINC01881	1587
CICP10	198
SEPT14P2	183
ABC7-43041300I9.1	454
LINC01986	590
AC066595.1	399
CHL1-AS2	883
CHL1	11861
RNU6-1194P	104
RPS8P6	609
CHL1-AS1	1149
LINC01266	4075
RPSAP32	526
AC090044.1	497
AC087430.1	3699
RN7SL120P	294
CNTN6	5589
CRB3P1	276
RPL23AP38	469
RPL23AP39	405
RPL21P17	475
AC018814.1	357
RN7SKP144	279
CNTN4	9120
CNTN4-AS2	426
HINT2P1	481
DNAJC19P4	345
CNTN4-AS1	2078
IL5RA	6600
TRNT1	5518
CRBN	8068
AC024060.1	494
AC034195.1	1337
AC024158.1	123
SUMF1	6952
LRRN1	4264
PNPT1P1	2315
SETMAR	3567
MRPS10P2	381
ITPR1-AS1	858
ITPR1	12895
EGOT	1464
AC018816.1	1251
BHLHE40-AS1	2717
BHLHE40	3837
RNF10P1	369
UBTFL8	2112
AC090955.1	235
ARL8B	3576
AC026202.2	672
AC026202.3	1127
EDEM1	6758
MIR4790	79
RN7SL553P	296
AC026202.1	585
AC087857.1	467
AC026167.1	299
AC027119.1	241
AC069277.1	3023
GRM7-AS3	2974
AC069277.2	432
GRM7	8214
MRPS36P1	307
GRM7-AS2	520
GRM7-AS1	507
AC068313.1	1008
LMCD1-AS1	6458
AC069276.1	85
AC018832.1	566
RNU4ATAC17P	120
AC023481.1	938
LMCD1	9130
AC034187.1	630
SSUH2	6279
OR7E122P	6210
AC034187.4	77
AC034187.5	80
AC034187.3	88
CAV3	1956
OXTR	4514
hsa-mir-548ba	97
RAD18	6983
SRGAP3	18924
SRGAP3-AS1	428
SRGAP3-AS2	1439
SRGAP3-AS3	1223
SRGAP3-AS4	377
AC026191.1	1649
PGAM1P4	750
THUMPD3-AS1	6275
THUMPD3	5365
SETD5	10808
AC018506.1	94
LHFPL4	5329
DUSP5P2	1033
MTMR14	6019
CPNE9	2335
BRPF1	5477
OGG1	8733
CAMK1	2720
TADA3	4234
ARPC4	3608
ARPC4-TTLL3	2765
TTLL3	10365
AC022382.1	336
RPUSD3	5348
CIDEC	1926
JAGN1	1799
IL17RE	4676
IL17RC	4540
RNU6-882P	103
CRELD1	3778
AC018809.1	553
PRRT3	3939
PRRT3-AS1	614
AC018809.2	3823
EMC3	4270
EMC3-AS1	3714
CYCSP10	294
AC022007.1	2533
CIDECP	3017
FANCD2	8378
RNU6-670P	104
CYCSP11	315
FANCD2OS	1895
BRK1	1233
VHL	4213
IRAK2	3483
RNU6-814P	108
TATDN2	5572
AC022384.1	2977
LINC00852	1328
GHRL	2064
GHRLOS	1712
SEC13	5446
ATP2B2	10165
MIR378B	57
MIR885	74
AC090841.1	63
ATP2B2-IT1	472
ATP2B2-IT2	507
LINC00606	2960
AC018495.1	452
SLC6A11	6700
SLC6A1	4904
SLC6A1-AS1	584
HRH1	5546
CHCHD4P4	327
ATG7	8833
AC083855.1	258
AC026185.1	174
AC022001.1	268
VGLL4	7236
AC022001.2	580
AC022001.3	596
TAMM41	5925
FANCD2P2	1400
CYCSP12	300
NUP210P2	282
MARK2P14	628
AC090958.1	351
RN7SL147P	296
SYN2	5679
ACTG1P12	1166
AC026166.1	84
TIMP4	1650
MTCO1P5	344
GSTM5P1	660
PPARG	4046
AC091492.1	272
TSEN2	5667
RNU6-404P	82
RNA5SP123	119
RNU6-377P	102
MKRN2OS	1829
MKRN2	2848
RAF1	7847
CRIP1P1	185
TMEM40	3562
KRT18P17	1279
CAND2	5478
AC034198.2	510
RPL32	3720
SNORA7A	139
AC034198.1	202
LINC02022	635
IQSEC1	6882
AC069271.1	156
NUP210	8182
AC027124.2	105
AC027124.1	466
HDAC11-AS1	515
HDAC11	5281
FBLN2	4812
LINC00620	1021
AC093611.2	91
AC093611.1	72
WNT7A	4579
VN1R20P	966
FGD5P1	3868
TPRXL	3748
VN1R21P	765
CHCHD4	1772
TMEM43	3572
AC090004.1	1335
AC093495.1	4015
XPC	4798
LSM3	3815
AC093496.1	613
LINC01267	2284
RNA5SP124	110
SLC6A6	8252
GRIP2	11884
RNU6-905P	107
RHBDF1P1	1941
AC090952.2	1620
AC090952.1	446
CCDC174	3556
C3orf20	3492
AC090957.1	1147
LINC02011	3830
FGD5	8093
FGD5-AS1	5131
NR2C2	11821
MRPS25	5383
RBSN	7921
AC090954.1	509
RPS3AP53	778
COL6A4P1	4566
CAPN7	5598
SH3BP5-AS1	5733
SH3BP5	4159
RNU6-454P	107
HMGN2P7	273
METTL6	5714
EAF1	5152
RNU6-1024P	107
EAF1-AS1	4321
COLQ	4175
MIR4270	70
RN7SL110P	281
HACL1	3055
BTD	3704
ANKRD28	11276
MIR3134	74
AC090950.2	660
AC090950.1	1219
RN7SL4P	294
MIR563	79
IMPDH1P8	1525
GALNT15	5679
AC090953.1	1625
DPH3	3562
OXNAD1	6095
RFTN1	4776
AC090948.1	549
AC090948.2	564
AC090948.3	551
AC010139.1	543
LINC00690	1365
DAZL	3631
AC091493.1	411
CDYLP1	1458
PLCL2	5128
MIR3714	65
PLCL2-AS1	311
AC090644.1	73
TBC1D5	11269
AC090960.1	306
AC140076.1	361
U7	126
AC104451.1	176
AC104297.1	870
PDCL3P3	715
AC132807.1	458
AC132807.2	339
SATB1	13409
AC144521.1	956
SATB1-AS1	13505
RAD23BP1	1227
RNU6-138P	107
KCNH8	6148
MIR4791	84
EFHB	4163
HSPA8P18	1928
RAB5A	3785
PP2D1	2523
RNU4-85P	123
SAP18P3	396
AC097635.1	155
KAT2B	5634
MIR3135A	77
SGO1	3828
SGO1-AS1	6571
RNY4P22	93
RNU6-822P	106
AC116096.1	2314
RNU6-815P	113
AC099753.1	2118
AC104441.1	79
AC104183.1	85
VENTXP7	772
ZNF385D	13621
ZNF385D-AS1	705
AC023798.1	100
ZNF385D-AS2	648
HMGB1P5	1111
AC092421.1	418
AC114477.1	605
RANP7	644
SALL4P5	1760
RPL24P7	453
UBE2E2-AS1	532
UBE2E2	3274
AC121251.1	249
AC092038.1	70
AC092038.2	82
RNU6-922P	99
RNU6-788P	104
AC020626.1	94
UBE2E1-AS1	778
UBE2E1	3074
ARL4AP4	518
NKIRAS1	3473
RPL15	6528
NR1D2	5820
LINC00691	3446
NPM1P23	849
THRB	8709
RPL31P20	360
THRB-IT1	1754
THRB-AS1	6386
AC012087.1	809
MIR4792	74
EIF3KP2	626
AC092422.1	584
RN7SL216P	301
RNA5SP125	120
RARB	3697
CFL1P7	486
RNA5SP126	109
AC133141.1	339
SNORD5	212
TOP2B	6044
MIR4442	67
CRIP1P2	228
NGLY1	8326
AC092798.1	461
TAF9BP1	746
OXSM	2486
LINC00692	934
RPEP2	701
HMGB3P12	556
VENTXP4	958
AC099754.1	454
LRRC3B	3271
AC114877.1	722
NEK10	9582
MINOS1P3	203
RNU6-342P	104
AC099535.1	464
SLC4A7	9616
RN7SL859P	297
RPS20P15	311
RNU1-96P	162
AC137675.1	42
AC098614.2	255
AC098614.1	2452
AC098614.4	462
AC098614.3	440
LINC02084	1096
EOMES	3656
LINC01980	935
LINC01981	2833
LINC01967	850
CMC1	10536
AZI2	6349
ZCWPW2	2895
AC098650.1	3620
FAM96AP1	482
AC093142.1	349
RBMS3	18339
AC097361.1	95
MESTP4	1204
RBMS3-AS3	787
RPS12P5	371
RBMS3-AS2	2303
MTND4LP9	174
RBMS3-AS1	554
AC099048.1	1596
AC137674.1	68
AC137674.2	74
LINC01985	436
AC116035.1	517
TGFBR2	4704
AC096921.1	375
